swapSweep(cgg "ID") (L=2e-06) X,swapSweep(cgg "ID") (L=2e-06) Y
1e-09,1.351802716220495e-14
1.8e-09,1.365809343985319e-14
3.200000000000001e-09,1.389655238240386e-14
5.6e-09,1.426350873322497e-14
1e-08,1.483233267260155e-14
1.8e-08,1.56479264266145e-14
3.2e-08,1.672111334682073e-14
5.600000000000001e-08,1.803036726213238e-14
1e-07,1.964959169751269e-14
1.8e-07,2.15071347485385e-14
3.2e-07,2.344282395684351e-14
5.6e-07,2.529210628522309e-14
1e-06,2.699031230968981e-14
1.8e-06,2.831389007614557e-14
3.2e-06,2.919494226199233e-14
5.6e-06,2.974773109314912e-14
9.999999999999999e-06,3.012565480254918e-14
1.8e-05,3.039212444359279e-14
3.2e-05,3.057158489796132e-14
5.6e-05,3.067299018809852e-14
9.999999999999999e-05,3.069661331225027e-14
0.00018,3.062596363628609e-14
0.00032,3.045540958344749e-14
0.00056,3.019646304365908e-14
0.001,2.992918794496083e-14
