swapSweep(pv("M1" "cgg" ?result "dcOpInfo") "ID") (L=5e-07) X,swapSweep(pv("M1" "cgg" ?result "dcOpInfo") "ID") (L=5e-07) Y
1e-09,1.57229720512115e-15
1.8e-09,1.56915962602351e-15
3.2e-09,1.568567732806246e-15
5.6e-09,1.572389599012451e-15
1e-08,1.584650018896588e-15
1.8e-08,1.612066864703505e-15
3.2e-08,1.662844989922487e-15
5.6e-08,1.746266116593365e-15
1e-07,1.879388303991924e-15
1.8e-07,2.071917552731396e-15
3.2e-07,2.31822128882757e-15
5.6e-07,2.604990435506974e-15
1e-06,2.939548687390351e-15
1.8e-06,3.29409441252778e-15
3.2e-06,3.62822489091009e-15
5.6e-06,3.909858897699178e-15
1e-05,4.137843858926667e-15
1.8e-05,4.300902146002084e-15
3.2e-05,4.408420018626575e-15
5.6e-05,4.481287543842987e-15
0.0001,4.537605902366307e-15
0.00018,4.580832188898612e-15
0.00032,4.607166807926814e-15
0.00056,4.608974057671218e-15
0.001,4.570695495283168e-15
