swapSweep(gmoverid "ID") (L=1.3e-07) X,swapSweep(gmoverid "ID") (L=1.3e-07) Y
1e-09,26.18319448397651
1.8e-09,26.07141654618618
3.200000000000001e-09,25.92483456647266
5.6e-09,25.73555440958911
1e-08,25.47283292690188
1.8e-08,25.11305822003386
3.2e-08,24.64010469588949
5.600000000000001e-08,24.03306611895163
1e-07,23.20988319242478
1.8e-07,22.12820356578326
3.2e-07,20.79082141135137
5.6e-07,19.19077115631355
1e-06,17.21878769581572
1.8e-06,14.97570366323218
3.2e-06,12.69999904021217
5.6e-06,10.58092232304841
9.999999999999999e-06,8.545452984071815
1.8e-05,6.5532956811331
3.2e-05,4.666104347286852
5.6e-05,3.046634316376161
9.999999999999999e-05,1.782615510060204
0.00018,0.97104454554742
0.00032,0.4994338561169219
0.00056,0.1555303815980674
0.001,-0.08528290715568677
